date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:09	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jun%202017%2015:56:16%20GMT	http://crazycafe.net/robots.txt		(from )
21:26:09	32936/32936	---MCZ	200	added ('OK')	text/html	etag:W/%2259082aee-80a8%22	http://crazycafe.net/demos/cafe-duke/	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/index.html	(from )
21:26:11	27768/27768	---M--	200	added ('OK')	image/png	etag:%2259082b85-6c78%22	http://crazycafe.net/demos/cafe-duke/img/fevicon.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/fevicon.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:11	4614/4614	---M--	200	added ('OK')	text/css	etag:%2259082afd-1206%22	http://crazycafe.net/demos/cafe-duke/css/owl.carousel.css	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/css/owl.carousel.css	(from http://crazycafe.net/demos/cafe-duke/)
21:26:13	52789/52789	---M--	200	added ('OK')	text/css	etag:%2259082afa-ce35%22	http://crazycafe.net/demos/cafe-duke/css/animate.min.css	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/css/animate.min.css	(from http://crazycafe.net/demos/cafe-duke/)
21:26:14	121200/121200	---M--	200	added ('OK')	text/css	etag:%2259082afa-1d970%22	http://crazycafe.net/demos/cafe-duke/css/bootstrap.min.css	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/css/bootstrap.min.css	(from http://crazycafe.net/demos/cafe-duke/)
21:26:15	31000/31000	---M--	200	added ('OK')	text/css	etag:%2259082afc-7918%22	http://crazycafe.net/demos/cafe-duke/css/font-awesome.min.css	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/css/font-awesome.min.css	(from http://crazycafe.net/demos/cafe-duke/)
21:26:17	2505/2505	---M--	200	added ('OK')	text/css	etag:%2259082b00-9c9%22	http://crazycafe.net/demos/cafe-duke/css/slicknav.min.css	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/css/slicknav.min.css	(from http://crazycafe.net/demos/cafe-duke/)
21:26:17	14365/14365	---MCZ	200	added ('OK')	text/html	etag:W/%2259082ae7-381d%22	http://crazycafe.net/demos/cafe-duke/cart.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/cart.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:18	32936/32936	---MCZ	200	added ('OK')	text/html	etag:W/%2259082aee-80a8%22	http://crazycafe.net/demos/cafe-duke/index.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/index-2.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:18	118511/118511	---M--	200	added ('OK')	text/css	etag:%2259082b07-1ceef%22	http://crazycafe.net/demos/cafe-duke/css/custom/style.css	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/css/custom/style.css	(from http://crazycafe.net/demos/cafe-duke/)
21:26:20	14159/14159	---MCZ	200	added ('OK')	text/html	etag:W/%2259082ae4-374f%22	http://crazycafe.net/demos/cafe-duke/about.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/about.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:20	21668/21668	---MCZ	200	added ('OK')	text/html	etag:W/%2259082aec-54a4%22	http://crazycafe.net/demos/cafe-duke/food_menu.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/food_menu.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:20	12600/12600	---MCZ	200	added ('OK')	text/html	etag:W/%2259082aed-3138%22	http://crazycafe.net/demos/cafe-duke/gellary.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/gellary.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:21	12639/12639	---MCZ	200	added ('OK')	text/html	etag:W/%2259082aec-315f%22	http://crazycafe.net/demos/cafe-duke/gallery_masonry.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/gallery_masonry.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:21	16105/16105	---MCZ	200	added ('OK')	text/html	etag:W/%2259082ae6-3ee9%22	http://crazycafe.net/demos/cafe-duke/branch.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/branch.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:21	19977/19977	---MCZ	200	added ('OK')	text/html	etag:W/%2259082ae9-4e09%22	http://crazycafe.net/demos/cafe-duke/chef.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/chef.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:22	18929/18929	---MCZ	200	added ('OK')	text/html	etag:W/%2259082aef-49f1%22	http://crazycafe.net/demos/cafe-duke/shop.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/shop.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:22	16456/16456	---MCZ	200	added ('OK')	text/html	etag:W/%2259082af0-4048%22	http://crazycafe.net/demos/cafe-duke/single_shop.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/single_shop.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:23	15386/15386	---MCZ	200	added ('OK')	text/html	etag:W/%2259082ae8-3c1a%22	http://crazycafe.net/demos/cafe-duke/checkout.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/checkout.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:23	10897/10897	---MCZ	200	added ('OK')	text/html	etag:W/%2259082ae3-2a91%22	http://crazycafe.net/demos/cafe-duke/404.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/404.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:23	19680/19680	---MCZ	200	added ('OK')	text/html	etag:W/%2259082ae5-4ce0%22	http://crazycafe.net/demos/cafe-duke/blog1.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/blog1.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:24	13559/13559	---MCZ	200	added ('OK')	text/html	etag:W/%2259082ae6-34f7%22	http://crazycafe.net/demos/cafe-duke/blog2.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/blog2.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:24	17796/17796	---MCZ	200	added ('OK')	text/html	etag:W/%2259082aef-4584%22	http://crazycafe.net/demos/cafe-duke/single_blog.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/single_blog.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:24	13426/13426	---MCZ	200	added ('OK')	text/html	etag:W/%2259082ae9-3472%22	http://crazycafe.net/demos/cafe-duke/contact.html	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/contact.html	(from http://crazycafe.net/demos/cafe-duke/)
21:26:25	5642/5642	---M--	200	added ('OK')	image/png	etag:%2259082b9d-160a%22	http://crazycafe.net/demos/cafe-duke/img/logo.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/logo.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:29	3463/3463	---M--	200	added ('OK')	image/png	etag:%2259082be4-d87%22	http://crazycafe.net/demos/cafe-duke/img/tittle_icon.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/tittle_icon.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:34	10633/10633	---M--	200	added ('OK')	image/jpeg	etag:%2259082b78-2989%22	http://crazycafe.net/demos/cafe-duke/img/combo1.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/combo1.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:34	95193/95193	---M--	200	added ('OK')	image/jpeg	etag:%2259082bf4-173d9%22	http://crazycafe.net/demos/cafe-duke/img/welcome_bg.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/welcome_bg.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:36	11448/11448	---M--	200	added ('OK')	image/jpeg	etag:%2259082b7a-2cb8%22	http://crazycafe.net/demos/cafe-duke/img/combo2.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/combo2.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:36	9160/9160	---M--	200	added ('OK')	image/jpeg	etag:%2259082b7a-23c8%22	http://crazycafe.net/demos/cafe-duke/img/combo3.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/combo3.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:41	20781/20781	---M--	200	added ('OK')	image/jpeg	etag:%2259082b7b-512d%22	http://crazycafe.net/demos/cafe-duke/img/combo4.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/combo4.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:42	2390/2390	---M--	200	added ('OK')	image/png	etag:%2259082bab-956%22	http://crazycafe.net/demos/cafe-duke/img/menu_icon1.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_icon1.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:42	26755/26755	---M--	200	added ('OK')	image/jpeg	etag:%2259082b7c-6883%22	http://crazycafe.net/demos/cafe-duke/img/comboman.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/comboman.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:42	2391/2391	---M--	200	added ('OK')	image/png	etag:%2259082ba1-957%22	http://crazycafe.net/demos/cafe-duke/img/menu_h_icon1.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_h_icon1.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:43	3645/3645	---M--	200	added ('OK')	image/png	etag:%2259082bac-e3d%22	http://crazycafe.net/demos/cafe-duke/img/menu_icon2.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_icon2.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:43	3646/3646	---M--	200	added ('OK')	image/png	etag:%2259082ba3-e3e%22	http://crazycafe.net/demos/cafe-duke/img/menu_h_icon2.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_h_icon2.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:44	2816/2816	---M--	200	added ('OK')	image/png	etag:%2259082bac-b00%22	http://crazycafe.net/demos/cafe-duke/img/menu_icon3.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_icon3.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:44	2823/2823	---M--	200	added ('OK')	image/png	etag:%2259082ba5-b07%22	http://crazycafe.net/demos/cafe-duke/img/menu_h_icon3.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_h_icon3.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:44	2350/2350	---M--	200	added ('OK')	image/png	etag:%2259082bad-92e%22	http://crazycafe.net/demos/cafe-duke/img/menu_icon4.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_icon4.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:45	2352/2352	---M--	200	added ('OK')	image/png	etag:%2259082ba7-930%22	http://crazycafe.net/demos/cafe-duke/img/menu_h_icon4.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_h_icon4.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:45	2289/2289	---M--	200	added ('OK')	image/png	etag:%2259082bae-8f1%22	http://crazycafe.net/demos/cafe-duke/img/menu_icon5.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_icon5.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:46	2259/2259	---M--	200	added ('OK')	image/png	etag:%2259082baa-8d3%22	http://crazycafe.net/demos/cafe-duke/img/menu_h_icon5.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_h_icon5.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:46	2460/2460	---M--	200	added ('OK')	image/png	etag:%2259082bb1-99c%22	http://crazycafe.net/demos/cafe-duke/img/menu_icon6.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_icon6.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:46	2462/2462	---M--	200	added ('OK')	image/png	etag:%2259082ba9-99e%22	http://crazycafe.net/demos/cafe-duke/img/menu_h_icon6.png	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/menu_h_icon6.png	(from http://crazycafe.net/demos/cafe-duke/)
21:26:49	11854/11854	---M--	200	added ('OK')	image/jpeg	etag:%2259082bd0-2e4e%22	http://crazycafe.net/demos/cafe-duke/img/special2.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/special2.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:49	13939/13939	---M--	200	added ('OK')	image/jpeg	etag:%2259082bcf-3673%22	http://crazycafe.net/demos/cafe-duke/img/special1.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/special1.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:52	11972/11972	---M--	200	added ('OK')	image/jpeg	etag:%2259082bd1-2ec4%22	http://crazycafe.net/demos/cafe-duke/img/special3.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/special3.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:53	12706/12706	---M--	200	added ('OK')	image/jpeg	etag:%2259082bd1-31a2%22	http://crazycafe.net/demos/cafe-duke/img/special4.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/special4.jpg	(from http://crazycafe.net/demos/cafe-duke/)
21:26:58	28241/28241	---M--	200	added ('OK')	image/jpeg	etag:%2259082b82-6e51%22	http://crazycafe.net/demos/cafe-duke/img/daily_menu2.jpg	C:/Users/Desperado~!/Desktop/cafe%20duke/crazycafe.net/demos/cafe-duke/img/daily_menu2.jpg	(from http://crazycafe.net/demos/cafe-duke/)
